,avg._session_duration,bounce_rate,content_unique?,design_unique?,listing_type,net_profit,page_views_0,page_views_1,page_views_2,page_views_3,page_views_4,page_views_5,page_views_6,page_views_7,page_views_8,page_views_9,page_visitors_0,page_visitors_1,page_visitors_2,page_visitors_3,page_visitors_4,page_visitors_5,page_visitors_6,page_visitors_7,page_visitors_8,page_visitors_9,pages_/_session,platform,site_age,site_type,starting_price,template_unique?
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  1 year
","
  eCommerce
",Ended Without a Winner,
0,"
  00:03:42
","
  67.16%
",,,,"
  —
","3,170","3,182","5,570","7,214","2,365",0,0,0,0,0,"1,791",856,379,270,58,0,0,0,0,0,"
  4.70
","
  —
","
  1 year
","
  Content
",Ended Without a Winner,
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  1 year
","
  Content
","
    $50 ",
0,,,"
  Yes
","
  No
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  —
","
  2 months
","
  eCommerce
",Ended Without a Winner,"
  No
"
0,,,"
  No
","
  No
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  —
","
  3 months
","
  eCommerce
",Ended Without a Winner,"
  No
"
0,,,"
  No
","
  No
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  PHP
","
  1 month
","
  Services
","
    $79 ","
  No
"
0,,,"
  No
","
  No
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  Wordpress 4.9
","
  1 month
","
  Content
","
    $105 ","
  No
"
0,,,"
  No
","
  No
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  —
","
  3 months
","
  Content
","
    $50 ","
  No
"
0,,,"
  No
","
  No
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  Word​​Press
","
  1 month
","
  Content
",Ended Without a Winner,"
  No
"
0,,,"
  No
","
  No
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  —
","
  2 months
","
  eCommerce
",Ended Without a Winner,"
  No
"
0,,,"
  No
","
  No
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  —
","
  3 months
","
  Content
","
    $55 ","
  No
"
0,,,"
  Yes
","
  Yes
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  —
","
  1 month
","
  Services
",Ended Without a Winner,"
  No
"
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  8 months
","
  Content
",Ended Without a Winner,
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  9 months
","
  Content
",Ended Without a Winner,
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  1 year
","
  eCommerce
","
    $60 ",
0,"
  00:00:44
","
  88.07%
",,,,"
  —
",178,179,183,209,263,201,240,201,271,213,130,130,124,142,171,128,163,125,164,119,"
  1.31
","
  —
","
  8 years
","
  Services
",Ended Without a Winner,
0,,,,,,"
  —
",,,,,,,,,,,,,,,,,,,,,,"
  —
","
  1 year
","
  SaaS
",Ended Without a Winner,
0,,,"
  Yes
","
  Yes
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  —
","
  3 months
","
  eCommerce
","
    $60 ","
  No
"
0,,,"
  Yes
","
  Yes
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  Wordpress 4.9
","
  3 months
","
  Content
","
    $150 ","
  No
"
0,,,"
  No
","
  No
","
  Starter Site
",,,,,,,,,,,,,,,,,,,,,,,"
  —
","
  2 months
","
  eCommerce
","
    $250 ","
  No
"
0,"
  00:01:04
","
  30.21%
",,,,"
  —
","16,421",952,0,0,0,0,0,0,0,0,"8,330",449,0,0,0,0,0,0,0,0,"
  1.36
","
  Wordpress 4.8
","
  8 months
","
  eCommerce
",Ended Without a Winner,
